name,rating_star,total_reviews,review_text
The Nishat Hotel,4.5,528,Good service Nice atmosphere keep it up Nice location nice staff good food and Nice property Roof top loction is amazing room are good and have a nice bar i did not visit but ha Try their koyla restaurant meal thanks
Avari Towers Karachi,4.5,"1,226","time without any minute to spear to reach to my room.Swift check in & check out, provided with a fantastic room overlooking the garden.The food was delightful and scrumptious and all measurements taken for the"
 Four Points by Sheraton Lahore,4.5,"1,186","Great Service, Courteous Staff, great hospitality, Best ever experience Highly recommended Spacious Room Close to City Great location Peaceful environment Amazing services Highly recommended Will definitely revisi"
Pearl Continental Hotel Karachi,4.5,"2,310","Excellent staff, cleannnes, Neat rooms, excellent room service, particularly Reception guy Awais, he is always helpful and supportive, overall stayed so many times not faced any issue, Break fast is good, food qua"
Pearl Continental Lahore,4.5,"2,433",I had a very bad experience in nearby hotel. I decided to move in this hotel and made my room booking on phone. When I reached here I found that the rate they gave me was lower. I argued with them but due to psl going on in city they raised room rate without letting me know. I had to settle my family in our relatives home as there was no room available in hotels of gulberg
Avari Hotel Lahore,4.5,"1,499",we enjoyed here very well.awesome atmosphere and marvelous service provided by staff in restaurant specially sayyad naveed and asif food was amazing .delicious taste we will come back again and again ...keep it up nice standards pc especially marcopolo staff..
Beach Luxury Hotel,4,239,We were stay in hotel one faisalabad it was a great stay. The team of that hotel were very professional and service was also good. Neat nd clean room and when we entered the hotel they welcomed with beautiful smile nd offer welcom drink. we really enjoyed all stay.
Islamabad Serena Hotel,4.5,870,Excellent for family time. You have 100s of activities lined up. Awesome water park and delicious food as well. Its exciting for all age groups and has clean chalets to live in as well. Worth a visit
Movenpick Hotel Karachi,4.5,"2,587","Lack of professorial staff need training , GPS finding of the location is very difficult.very bad experience in Lahore for the first time during night stay at Lahore . Room was comfortable . Breakfast no taste I think not good as compare to other 5 star hotels in Lahore"
Centaurus Suites,4.5,60,"Stayed in executive lounge 307. Experience wasn’t very pleasant. Instead of traditional reception counter, tables with insufficient staff as well as chairs were placed. Had to wait extra ordinary long to get my room allocated. Rooms were too congested. Telephone set placed on the bedside table was out of order. Bathroom fittings(taps etc) were not comfortable for use."
Royal Inn Hotel,3.5,20,I had a very pleasant experience. I went there with my friends and as we were more than the bed could occupy they provided us with mattresses. Even though we were the only ones there at night they still opened the rides for us. We had some problem with the cable so they immediately responded to our request and fixed it in no time.
Avari Xpress Gulberg,5,273,"Ive spent 5 nights. During the first 3, the swimming pool didnt work for maintenance. The remaining days the steam bath did not work either. The restaurant is full of noisy families. Too many managers who scarcely pass the information to each other. In the restaurant you can be waiting for 30 minutes a mocktail. The swimming pool is too small for the too many members of the fitness club who instead of swimming behave as teenagers. I would not recommend it for business travellers who want a calm place after work"
Pearl Continental Hotel Malam Jabba,5,159,"I stayed with my family of four in Movenpick Hotel in Karachi between July 17th to August 6th, 2022. The hotel is great and the staff is very cooperative. Abdul Bari Sheikh did a great job for me, before we arrived, he did make sure my reservation is confirmed, arranged rental car and did setup hotel shuttle services airport/hotel. I have seen many hotels in USA and would give this Hotel Five Star. Azeem - USA"
 Hotel One Mall Road Murree,5,85,Movenpick breakfast is very tasty and the staff are very friendly and helpful. Particularly Nr Khorramshahr Abbasi and Mr Javaid who kindly introduced me to some of the Movenpick’s breakfast specialties.
Luxus Grand Hotel,4,100,Excellent for both business and leisure - overall a happy experience. This hotel works as a unit and seems constantly striving to make the guests feel welcome and comfortable. Food is excellent. Left refreshed and recharged. There is however no gym facility.
Lahore Continental Hotel,4,54,"We loved every minute at this hotel, the staff was super friendly and the food was amazing. This hotel is a must stay if you’re visiting gilgit, they have everything on site at all times including a doctor or taxi at anytime. They have amazing staff and the stores on site offer a beautiful selection of products in the hotel itself"
